127.0.0.1 - - [14/Sep/2021:20:54:03 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [14/Sep/2021:20:54:04 +0900] "GET /stubyhtml5/ch03/view.html HTTP/1.1" 200 252
0:0:0:0:0:0:0:1 - - [14/Sep/2021:20:57:25 +0900] "GET /stubyhtml5/ch03/view.html HTTP/1.1" 200 381
0:0:0:0:0:0:0:1 - - [14/Sep/2021:20:57:38 +0900] "GET /stubyhtml5/ch03/view.html HTTP/1.1" 200 381
0:0:0:0:0:0:0:1 - - [14/Sep/2021:20:59:06 +0900] "GET /stubyhtml5/ch03/view.html HTTP/1.1" 200 445
0:0:0:0:0:0:0:1 - - [14/Sep/2021:21:00:07 +0900] "GET /stubyhtml5/ch03/view.html HTTP/1.1" 200 445
0:0:0:0:0:0:0:1 - - [14/Sep/2021:21:00:24 +0900] "GET /stubyhtml5/ch03/view.html HTTP/1.1" 200 446
0:0:0:0:0:0:0:1 - - [14/Sep/2021:21:00:51 +0900] "GET /stubyhtml5/ch03/view.html HTTP/1.1" 200 446
0:0:0:0:0:0:0:1 - - [14/Sep/2021:21:03:22 +0900] "GET /stubyhtml5/ch03/view.html HTTP/1.1" 200 1001
0:0:0:0:0:0:0:1 - - [14/Sep/2021:21:04:12 +0900] "GET /stubyhtml5/ch03/view.html HTTP/1.1" 200 1000
0:0:0:0:0:0:0:1 - - [14/Sep/2021:21:13:13 +0900] "GET /stubyhtml5/ch03/view.html HTTP/1.1" 200 1072
0:0:0:0:0:0:0:1 - - [14/Sep/2021:21:13:13 +0900] "GET /stubyhtml5/ch03/p2.png HTTP/1.1" 200 23763133
0:0:0:0:0:0:0:1 - - [14/Sep/2021:21:13:13 +0900] "GET /stubyhtml5/ch03/p1.png HTTP/1.1" 200 18898839
0:0:0:0:0:0:0:1 - - [14/Sep/2021:21:13:43 +0900] "GET /stubyhtml5/ch03/view.html HTTP/1.1" 200 1095
0:0:0:0:0:0:0:1 - - [14/Sep/2021:21:13:43 +0900] "GET /stubyhtml5/ch03/p1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2021:21:13:43 +0900] "GET /stubyhtml5/ch03/p2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2021:21:15:11 +0900] "GET /stubyhtml5/ch03/view.html HTTP/1.1" 200 1117
0:0:0:0:0:0:0:1 - - [14/Sep/2021:21:15:11 +0900] "GET /stubyhtml5/ch03/p1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2021:21:15:11 +0900] "GET /stubyhtml5/ch03/p2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2021:21:16:10 +0900] "GET /stubyhtml5/ch03/view.html HTTP/1.1" 200 1190
0:0:0:0:0:0:0:1 - - [14/Sep/2021:21:16:10 +0900] "GET /stubyhtml5/ch03/p2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2021:21:16:10 +0900] "GET /stubyhtml5/ch03/p1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2021:21:16:29 +0900] "GET /stubyhtml5/ch03/view.html HTTP/1.1" 200 1194
0:0:0:0:0:0:0:1 - - [14/Sep/2021:21:16:29 +0900] "GET /stubyhtml5/ch03/p1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2021:21:16:29 +0900] "GET /stubyhtml5/ch03/p2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2021:21:20:18 +0900] "GET /stubyhtml5/ch03/view.html HTTP/1.1" 200 1461
